,0
303,0
85,0
362,0
81,0
717,0
91,1
358,0
570,0
604,0
692,1
435,0
651,0
482,0
393,0
512,0
739,0
214,0
622,0
217,0
385,0
389,0
652,0
570,0
444,0
359,0
111,0
237,1
501,0
443,0
351,0
557,0
610,0
578,0
282,0
239,1
386,0
537,0
653,0
417,0
635,0
577,0
312,0
590,0
700,0
263,0
332,0
122,0
453,0
769,0
508,0
137,0
120,0
167,0
183,0
562,0
534,0
753,0
136,0
475,0
584,0
584,0
763,0
613,0
478,0
558,0
134,0
589,0
23,0
126,0
108,0
672,0
708,1
484,0
377,0
75,1
544,0
179,1
360,0
559,0
303,0
468,0
518,0
597,0
523,0
416,0
70,0
67,1
157,0
399,0
385,0
631,0
100,0
155,0
